causas-civil	328	INTEGRACION DE LITIS
causas-civil	321	DETALLE: EN LETRA
causas-civil	318	NOTIFICACION BAJO RESPONSABILIDAD DE LA PARTE
causas-civil	298	CLAUSURA PRUEBA
causas-civil	294	SUCESION.TESTAMENTO. APROBACION Y PROTOCOLIZAC.
causas-civil	284	RECURSO EXTRAORDINARIO - CONTESTACION RECURSO EXTRAORDINARIO
causas-civil	281	REMOCION DE PERITO
causas-civil	277	RESOL. QUE PONE FIN AL LITIGIO: CADUCIDAD DE LA INSTANCIA - CADUCIDAD DE INSTANCIA
causas-civil	275	ART. 547 TRASLADO DE EXCEPCIONES
causas-civil	268	RECUSACION   A  S.S.
causas-civil	264	PROVIDENCIAS VARIAS
causas-civil	258	APELACION  CONCESION
causas-civil	257	DETALLE: INICIO / DEMANDA
causas-civil	252	RECURSO EXTRAORDINARIO - RESOLUCION RECHAZA
causas-civil	252	RESOLUCION NO DEFINITIVA
causas-civil	244	EN LETRA - OFICIO OBSERVADO
causas-civil	241	ENDEREZA DEMANDA
causas-civil	241	SIN DEFINIR - SE RECIBE INFORME
causas-civil	238	INTIMACION CUMPLIMIENTO OBLIGATORIO
causas-civil	230	SUCESION EN TRAMITES PARA INSCRIBIR
causas-civil	226	TASA SATISFECHA
causas-civil	219	EJECUTIVO. CITACION DEL DEUDOR.  MANDAMIENTO
causas-civil	217	TRABA DE LITIS: MEDIDAS PARA MEJOR PROVEER
causas-civil	209	EN LETRA - OFICIO FIRMADO
causas-civil	207	EN DESPACHO - CONFECCION DEO/SINTYS/BOLETIN OFICIAL
causas-civil	199	SETENCIA DE TRANCE Y REMATE
causas-civil	196	CONFECCION CEDULA
causas-civil	195	PRUEBA SOBRE HECHOS CONDUCENTES, ALEGADOS Y CONTROVERTIDOS - AUTO DE APERTURA A PRUEBA - PROVEIDO DE
causas-civil	194	DEVOLUCION DE EXHORTO
causas-civil	189	SENTENCIA (INCLUIDAS REMATE/VENTA Y DECL. HEREDERO
causas-civil	188	EN DESPACHO - BAJA
causas-civil	187	TRANSACCION
causas-civil	177	EN DESPACHO - ESTA PARA HACER CEDULAS
causas-civil	176	IMPUGNACION PERICIA
causas-civil	174	EXPEDIENTE ELEVACION A CAMARA
causas-civil	170	EN DESPACHO - NOTIFICACION POR SECRETARIA
causas-civil	170	EN LETRA - CONFRONTADO
causas-civil	169	FALLO FAL
causas-civil	168	PROTOCOLIZACION DE TESTAMENTO
causas-civil	162	EN DESPACHO - CONTESTACIóN DE OFICIO
causas-civil	156	EN LETRA - PARA REGISTRAR
causas-civil	156	TRABA DE LITIS: NOTIFICACION DE DEMANDA
causas-civil	155	ACUERDO
causas-civil	149	CIRCULACION DE LA CAUSA
causas-civil	148	TRABA DE LITIS: PREPARACION VIA EJECUTIVA
causas-civil	146	PRUEBA SOBRE HECHOS CONDUCENTES, ALEGADOS Y CONTROVERTIDOS - EVALUACION ART. 42 LEY 26657 (EX ART. 1
causas-civil	143	RESOL. QUE PONE FIN AL LITIGIO: PRESCRIPCION
causas-civil	141	AUDIENCIA    CONCILIACION PREVIA A APERTURA PRUEBA
causas-civil	135	SUCESION. APERTURA
causas-civil	132	EN LETRA - CONFRONTE A LA FIRMA
causas-civil	131	EN DESPACHO - CONTESTACION DE OFICIO
causas-civil	131	LLAMADO DE AUTOS PARA SENTENCIA
causas-civil	131	PLANTEO DEL RECURSO - DENEGACION DEL RECURSO
causas-civil	126	EXCEPCIONES PREVIAS
causas-civil	126	INTERVENCION DE TERCEROS
causas-civil	124	JUICIO RECIBIDO A PRUEBA
causas-civil	122	AUDIENCIA DE VISTA DE CAUSA - NO CONCILIADA
causas-civil	122	EN DESPACHO - EDICTO
causas-civil	120	INCOMPETENCIA POR FUERO ATRACCION SUCESORIO
causas-civil	119	DETALLE: EN DESPACHO
causas-civil	119	REITERACION NOTIFICACION
causas-civil	118	DILIGENCIAS PRELIMINARES
causas-civil	115	RECEPCION DE EXPTE.CONEXIDAD
causas-civil	109	EN DESPACHO - FISCAL
causas-civil	107	EN LETRA - FISCAL
causas-civil	100	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023135
causas-civil	99	EN LETRA - EDICTO BO
causas-civil	99	FINALIZACION ETAPA - SENTENCIA DEFINITIVA
causas-civil	97	EJECUTIVO. PREPARACION DE LA VIA EJECUTIVA.
causas-civil	97	OFICIO A OTRO JUZGADO
causas-civil	95	EN DESPACHO - PARA REMITIR
causas-civil	95	EN LETRA - MANDAMIENTO FIRMADO
causas-civil	94	EN LETRA - CONFRONTE A LA FIRMA.-
causas-civil	88	AMPLIACION DE DEMANDA
causas-civil	87	MEDIDAS PRECAUTORIAS
causas-civil	84	EJEC.HIP. ART. 598 CONSTATACION Y INT. LANZA.
causas-civil	82	RESOL. QUE PONE FIN AL LITIGIO: DECLARACION DE INCAPACIDAD
causas-civil	81	CONFRONTE
causas-civil	80	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023144
causas-civil	79	EN DESPACHO - PARA CERTIFICAR
causas-civil	79	EN LETRA - DEO
causas-civil	78	DEMANDA AMPLIACION
causas-civil	78	VUELVE A MEDIACION
causas-civil	77	PAGO    CUMPLIMIENTO
causas-civil	76	AUDIENCIA    CONCILIATORIA
causas-civil	74	BENEFICIO INICIO
causas-civil	74	CASILLERO PASES
causas-civil	74	EMBARGO
causas-civil	74	EN DESPACHO - VISTAS
causas-civil	74	RESOLUCION DE EXCEPCION
causas-civil	74	SUSPENSION   PROCEDIMIENTO
causas-civil	73	EJECUTIVO
causas-civil	72	DESALOJO ENTREGA TENENCIA
causas-civil	72	EXPEDIENTE PRESTADO PARA ALEGAR
causas-civil	71	EN LETRA - VISTA AL FISCAL
causas-civil	70	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023147
causas-civil	69	EN DESPACHO - CONFECCIóN DE DEO/SYNTIS
causas-civil	68	EXHORTO DESPACHO INICIAL
causas-civil	68	PARTICION DE BIENES
causas-civil	67	CHEQUE HONORARIOS
causas-civil	64	EN DESPACHO - PARA FISCAL
causas-civil	60	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023122
causas-civil	57	EN LETRA - TESTIMONIO OBSERVADO
causas-civil	56	EN DESPACHO - NOT X SEC
causas-civil	55	DETALLE: RESOLUCION DE CAMARA
causas-civil	54	EN DESPACHO - A 360
causas-civil	54	EN LETRA - MANDAMIENTO OBSERVADO
causas-civil	53	EN DESPACHO - PARA NOTIFICAR POR SECRETARíA/DEO/BO
causas-civil	53	NUEVO MANDAMIENTO
causas-civil	52	LLAMAMIENTO DE AUTOS A SENTENCIA - ART 483 CPCCN - AUTOS PARA SENTENCIA
causas-civil	51	CONCILIACION. ACUERDO. HOMOLOGACION
causas-civil	51	EN LETRA - FOTOCOPIAS CERTIFICADAS
causas-civil	51	S U M A R I S I M O
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023123
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023125
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023126
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023130
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023139
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023142
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023143
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202327
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202335
causas-civil	50	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202344
causas-civil	50	SENTENCIA DE PRIMERA INSTANCIA - SENTENCIA DE PRIMERA INSTANCIA
causas-civil	50	TRABA DE LITIS: CONTESTACION DE DEMANDA CON ALLANAMIENTO
causas-civil	50	TRASLADO DE LA DEMANDA - TRáMITE SUMARíSIMO
causas-civil	49	DESISTIMIENTO DE MEDIDAS DE PRUEBA
causas-civil	49	EN LETRA - CONTRATAPA
causas-civil	48	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 4081202243
causas-civil	48	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 4081202265
causas-civil	47	DEPOSITA  DA EN PAGO
causas-civil	46	LANZAMIENTO DEL INQUILINO/S
causas-civil	45	DECLARACION DE PURO DERECHO    PEDIDO
causas-civil	45	EN DESPACHO - CERT FOTOCOPIAS
causas-civil	45	EN LETRA - TESTIMONIO FIRMADO
causas-civil	45	INICIO BENEFICIO
causas-civil	45	MANDAMIENTO DE LANZAMIENTO
causas-civil	44	DETALLE: DEVOLUCION - CIERRE DE RECURSO
causas-civil	44	EN LETRA - PARA REMITIR
causas-civil	43	CITACION DE TERCERO INTERESADO
causas-civil	43	DETALLE: SIN DEFINIR
causas-civil	41	EN LETRA - OFICIO A LA FIRMA
causas-civil	41	LIQUIDACION DE CAPITAL E INTERESES.
causas-civil	40	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023113
causas-civil	40	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023120
causas-civil	40	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023127
causas-civil	40	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023131
causas-civil	40	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023138
causas-civil	40	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 1442023146
causas-civil	40	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202333
causas-civil	40	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 144202340
causas-civil	40	DESISTIMIENTO  DE PARTES
causas-civil	40	EN DESPACHO - PARA NOTIFICAR POR SECRETARIA
causas-civil	39	TRABA DE LITIS: CONTESTACION DE EXCEPCIONES PREVIAS
causas-civil	38	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 4134201919
causas-civil	38	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 4134201965
causas-civil	38	ARCHIVO PROVISORIO - A ARCHIVO PROVISORIO EN PAQUETE NRO. 4134201968
causas-civil	38	CONFRONTE CEDULA
causas-civil	38	INTIMO PAGO DE TASA DE JUSTICIA
causas-civil	37	AUDIENCIA PRELIMINAR - NO CELEBRADA
causas-civil	37	AUTORIZAC. DE INSCRIPCION DE LA DECLARATORIA
causas-civil	37	EMBARGO  LEVANTAMIENTO
causas-civil	37	PRIMERA PROVIDENCIA
causas-civil	37	PRUEBA SOBRE HECHOS CONDUCENTES, ALEGADOS Y CONTROVERTIDOS - AUTO DE APERTURA A PRUEBA - PRUEBA TEST
causas-civil	37	RESOL. QUE PONE FIN AL LITIGIO: FALTA DE LEGITIMACION
causas-civil	37	TASA JUDICIAL    INTEGRACION
causas-civil	35	DECLARATORIA DE HEREDEROS - DECLARATORIA DE HEREDEROS
causas-civil	35	EJECUTIVO AMPLIACION DE DEMANDA
